48669,45314,38022,31607,31194,61293,CHE,AUT
8,77,56,79,104,0,SYR,AUT
55,117,326,567,1846,0,THA,AUT
1838,3245,3834,6898,14309,16060,TUR,AUT
0,11,116,214,369,0,ARE,AUT
36007,6936,23727,20978,6987,21857,GBR,AUT
317730,253310,155493,97915,72126,53738,USA,AUT
195,162,117,120,247,223,URY,AUT
459,1311,1213,1037,803,722,VEN,AUT
137,163,194,255,394,0,PSE,AUT
84,104,129,159,186,0,YEM,AUT
17,14,140,22,20,0,ZMB,AUT
201,259,244,230,211,0,ZWE,AUT
158871,218499,237154,125123,115689,164483,ARM,AZE
132,299,144,629,143,315,AUS,AZE
31,7,17,13,140,196,AUT,AZE
0,0,152,255,390,0,BHR,AZE
0,0,0,11153,7794,3792,BLR,AZE
28,13,5,4,13,111,BEL,AZE
24,25,25,25,116,0,BGR,AZE
1395,1174,970,970,1104,2631,CAN,AZE
303,99,5,28,676,,CHN,AZE
45,1229,771,533,436,,COD,AZE
2,4,107,177,33,24,COG,AZE
56,195,333,475,22,33,CYP,AZE
41,46,50,356,186,186,CZE,AZE
2,46,33,28,125,188,DNK,AZE
0,0,0,2343,1449,0,EST,AZE
226,23,45,7,382,350,FRA,AZE
8277,11734,13777,16573,10395,7819,GEO,AZE
73,78,81,1305,2055,23265,DEU,AZE
1,2,4,47,102,156,GRC,AZE
864,848,46,408,7727,0,HKG,AZE
60,155,141,123,117,19,HUN,AZE
1,2,8,20,964,2155,IRN,AZE
4830,2983,1768,1073,17,0,IRQ,AZE
1,1,3,3,43,112,IRL,AZE
26046,30949,52388,120033,225396,35101,ISR,AZE
8,3,13,17,99,254,ITA,AZE
16188,24665,31568,40361,31823,38921,KAZ,AZE
196,2064,1649,1166,38,0,KEN,AZE
9,44,15,1060,1001,0,KWT,AZE
2206,2762,3781,3548,2232,0,KGZ,AZE
0,0,0,4827,3113,5212,LVA,AZE
124,196,183,703,5957,,LBN,AZE
0,0,0,2407,1345,849,LTU,AZE
0,0,0,3703,3036,0,MDA,AZE
570,542,281,12,10,0,MMR,AZE
0,6,16,47,423,2821,NLD,AZE
25,22,129,38,63,0,NGA,AZE
13,10,8,7,70,221,NOR,AZE
967,833,607,432,298,358,POL,AZE
